# Command: `./bin/PolyMultDCK.time-par 65535 128`
# Brief: Testing my program!
Threads,Time
1,0.28424185714285716
2,0.151376
3,0.10371257142857145
4,0.07669871428571429
5,0.06335714285714286
6,0.05276642857142858
7,0.04689285714285713
8,0.038781857142857146
